City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Hilo,US,19.7297,-155.09,82.27,78,0,4.61,clear sky
160,Havoysund,NO,70.9963,24.6622,41.23,79,99,11.14,overcast clouds
161,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,100,75,2.3,heavy intensity rain
162,Tiksi,RU,71.6872,128.8694,15.15,93,96,8.34,overcast clouds
163,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,34,12.1,scattered clouds
164,Inhambane,MZ,-23.865,35.3833,78.78,61,0,9.22,clear sky
165,Katsuura,JP,35.1333,140.3,70.48,87,97,13.29,overcast clouds
166,New Norfolk,AU,-42.7826,147.0587,51.3,64,62,4.0,broken clouds
167,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,100,100,13.8,mist
168,Geraldton,AU,-28.7667,114.6,54.01,71,83,8.05,broken clouds
169,Mega,ET,4.05,38.3,64.99,61,82,13.89,broken clouds
170,Westport,US,41.1415,-73.3579,61.07,88,100,8.05,overcast clouds
171,Moron,AR,-34.6534,-58.6198,64.29,50,66,11.1,broken clouds
172,George,ZA,-33.963,22.4617,58.55,100,100,10.36,light rain
173,Chuy,UY,-33.6971,-53.4616,59.16,44,13,11.81,few clouds
174,Urengoy,RU,65.9667,78.3667,37.22,79,100,14.65,overcast clouds
175,Vostok,RU,46.4856,135.8833,44.6,84,100,2.8,overcast clouds
176,Chokurdakh,RU,70.6333,147.9167,11.93,91,100,6.96,overcast clouds
177,Navahrudak,BY,53.6,25.8333,45.41,80,70,7.34,broken clouds
178,Boa Vista,BR,2.8197,-60.6733,85.98,66,40,5.75,scattered clouds
179,Manokwari,ID,-0.8667,134.0833,79.21,83,100,3.13,overcast clouds
180,Kindu,CD,-2.95,25.95,80.4,61,65,3.02,broken clouds
181,Udachnyy,RU,66.4167,112.4,3.76,100,95,3.58,overcast clouds
182,Zhanakorgan,KZ,43.9098,67.2495,60.22,25,93,10.22,overcast clouds
183,Nizwa,OM,22.9333,57.5333,81.72,16,0,2.53,clear sky
184,Ca Mau,VN,9.1769,105.15,75.47,90,100,4.47,overcast clouds
185,Kununurra,AU,-15.7667,128.7333,78.78,65,31,6.91,scattered clouds
186,Nyurba,RU,63.2842,118.3319,24.91,95,94,5.99,overcast clouds
187,Bowen,AU,-20.0167,148.2333,73.36,87,16,9.01,few clouds
