City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Nagpur,IN,80.62,haze,21.15,79.1,Collection O 76391 Orange City
81,Isla Aguada,MX,77.04,overcast clouds,18.7833,-91.4667,Freedom Shores
83,Maputo,MZ,80.28,few clouds,-25.9653,32.5892,Pestana Rovuma
85,Delmas,HT,87.33,light rain,18.5447,-72.3028,Idéal Villa Hôtel
86,Faanui,PF,78.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Port Blair,IN,81.23,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
92,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
99,Hithadhoo,MV,81.95,clear sky,-0.6,73.0833,Scoop Guest House
100,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
104,Sumenep,ID,81.5,overcast clouds,-7.0167,113.8667,Family Nur Hotel
106,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
119,Coron,PH,78.44,overcast clouds,11.9986,120.2043,Coron Westown Resort
128,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
130,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
131,Kalmunai,LK,77.27,overcast clouds,7.4167,81.8167,VS Villa
134,Kieta,PG,79.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
143,Asyut,EG,84.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
150,Qeshm,IR,89.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
157,Georgetown,MY,78.89,light rain,5.4112,100.3354,Cititel Penang
159,Hilo,US,82.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
161,Sao Gabriel Da Cachoeira,BR,76.8,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
164,Inhambane,MZ,78.78,clear sky,-23.865,35.3833,Oceano
178,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
179,Manokwari,ID,79.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
180,Kindu,CD,80.4,broken clouds,-2.95,25.95,Résidence Okanda
183,Nizwa,OM,81.72,clear sky,22.9333,57.5333,Orient Apartments
184,Ca Mau,VN,75.47,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
185,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
188,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
190,Padang,ID,76.95,moderate rain,-0.9492,100.3543,Mercure Padang
196,Kokopo,PG,77.0,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
203,Laem Sing,TH,76.05,overcast clouds,12.4816,102.0738,Laem Sing Whitehouse Resort
204,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
209,Mocuba,MZ,83.84,clear sky,-16.8392,36.9856,Phama Lodge
210,Requena,ES,79.79,clear sky,39.4883,-1.1004,Hotel Avenida
212,Lafia,NG,83.93,broken clouds,8.4833,8.5167,Low Cost Housing Estate
216,Bataipora,BR,79.65,light rain,-22.2953,-53.2711,Hotel Vale do Ivinhema
217,Mangaldai,IN,75.74,clear sky,26.4333,92.0333,Hotel Siddarth Palace
219,Ternate,ID,82.72,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
222,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
223,Takoradi,GH,79.59,light rain,4.8845,-1.7554,Raybow International Hotel
225,Sola,VU,79.3,overcast clouds,-13.8833,167.55,Leumerus Bungalows
226,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
241,Ponta Do Sol,PT,75.83,scattered clouds,32.6667,-17.1,Hotel do Campo
243,Ilebo,CD,86.11,broken clouds,-4.3167,20.5833,Hôtel BUMAK
246,Marana,US,83.05,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
250,Matara,LK,76.82,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
251,Bubaque,GW,82.72,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
254,Bani,DO,87.85,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
256,Kavieng,PG,81.46,few clouds,-2.5744,150.7967,Nusa Island Retreat
259,Eyl,SO,78.94,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
260,Anloga,GH,80.49,overcast clouds,5.7947,0.8973,Pin Drop Hotel
